day_of_week,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,11.23902440990251,11.507246210195301,12.219817903284003,13.001648342267925,13.81842427004498,14.959525082553622,15.311642762091136,14.642233799139973,13.687689233970154,12.853134188683805,11.907863192880049,11.043754451955387,10.245706392834148,9.957144960579864,9.766835888776878,9.783835866301477,9.718196832844438,9.866168023673168,10.312586227202093,10.81947220830851,11.295364538817354,11.695209543574325,12.300135657584502,13.162792483621805
1,13.805698752844167,14.043282673258851,14.221510924971087,14.503808751291919,15.097391242896006,14.265661539326707,13.304866508796731,11.154489852651965,9.45085109386082,9.000859477469112,8.686052747580675,8.40980017223602,8.53208036459794,8.694614242275467,8.550335107465747,8.581727121521054,8.886713264551663,9.105473760150621,9.497307079610474,10.26961406107966,11.29750425323018,11.508590936277269,11.9325874967622,12.777270417888866
2,13.737229080337631,13.976551345516302,14.349761388016663,14.232918116814444,15.061698740881067,14.290229371559315,12.82145589765698,10.570929532100259,8.827848624507137,8.238744372811407,7.804762966816029,7.471633604248286,7.625627971545875,7.958843598361378,7.722380127518714,7.827254182882508,8.20847398173069,8.170188389370752,8.573229812373144,9.740294885026916,10.769761634874946,11.098085595685104,11.45275601809685,12.273831882926912
3,11.228841489367252,11.918283501913558,12.239141029789563,12.768090941515538,14.045435965324407,14.393981596955642,13.154226795858452,10.801758646320849,8.950306923692034,8.44954628891112,8.044843312161081,7.637990491939959,7.73173738914055,7.769515013790637,7.885414584326539,7.855967650658813,7.983813698029484,7.9133685914937555,8.299690773346454,9.31948801687974,10.517661179659086,10.856817472322478,11.215166439403964,12.03386135339043
4,13.040686710787458,13.566601557401624,13.833239056550072,10.962569672134578,15.001631626146274,14.436453710231538,12.950801044221048,10.677228010967063,8.998245752686973,8.46616354144048,7.945970808834017,7.4353395886235845,7.503303902473181,7.702701291166509,7.680136027308121,7.698003851053924,7.860383114404929,7.799715852733897,8.13288785407513,9.033332004370628,10.21084209177755,10.480348630046237,10.878076853118781,11.655480604390442
5,12.435382041502374,13.082535294057973,13.52507495478554,13.88663020215792,14.873400456510803,14.647610823588838,13.356746156419645,11.294317391120769,9.740599004149628,9.117803473572927,8.571279540156777,8.125048733154388,8.352752057285251,8.480167646684958,8.165350203156944,8.002163058546188,8.127206699326573,8.149113047534385,8.365667446437666,8.67605534968696,9.787118508602042,9.819219488833793,10.032463679779873,10.735056175164935
6,11.068739507196105,11.73707504916307,12.20758701255082,13.094286560546456,14.143208117432549,15.041549601520535,14.716597428147612,14.27037499136111,13.10374457418428,12.089548843309352,11.218088367599096,10.30316017919643,9.65472634188397,9.247833024692122,9.13224374738675,8.931844032062603,8.675022698534697,8.687432332004487,8.82334721419288,8.873234018724734,9.314244274547443,9.563716129080428,9.713340320590376,10.452898276609568
