date,prcp_mm,daily_trips,avg_distance,elasticity_corr
2025-01-01,8.8,89537,3.9858223974446236,0.07136341923036013
2025-01-02,0.0,84695,3.7256812090441813,0.07136341923036013
2025-01-03,0.0,91000,3.4128284615384814,0.07136341923036013
2025-01-04,0.0,97734,3.2713493768800888,0.07136341923036013
2025-01-05,0.0,79397,3.8635940904567687,0.07136341923036013
2025-01-06,1.6,80111,3.5331874524097877,0.07136341923036013
2025-01-07,0.0,100200,3.077129740518972,0.07136341923036013
2025-01-08,0.0,112840,2.9204287486707154,0.07136341923036013
2025-01-09,0.0,118092,3.017607627951081,0.07136341923036013
2025-01-10,0.0,110185,3.1533388392249515,0.07136341923036013
2025-01-11,1.9,121724,3.010462357464442,0.07136341923036013
2025-01-12,0.0,102162,3.55272146199171,0.07136341923036013
2025-01-13,0.0,99641,3.255379713170253,0.07136341923036013
2025-01-14,0.0,120105,2.9535730402564635,0.07136341923036013
2025-01-15,0.0,124109,2.970557735538959,0.07136341923036013
2025-01-16,0.2,135143,3.0292822417735255,0.07136341923036013
2025-01-17,0.2,118504,3.1346520792547103,0.07136341923036013
2025-01-18,2.2,119441,3.00649031739522,0.07136341923036013
2025-01-19,3.7,117884,3.138013640527989,0.07136341923036013
2025-01-20,4.9,89757,3.9883857526432607,0.07136341923036013
2025-01-21,0.1,116005,3.092075427783267,0.07136341923036013
2025-01-22,0.2,125393,2.8416759308733233,0.07136341923036013
2025-01-23,0.0,135287,2.8784445659967552,0.07136341923036013
2025-01-24,0.0,126795,2.9607915927284156,0.07136341923036013
2025-01-25,0.0,136574,2.816254191866671,0.07136341923036013
2025-01-26,0.0,101992,3.4881316181661446,0.07136341923036013
2025-01-27,0.0,92635,3.301050358935605,0.07136341923036013
2025-01-28,0.0,112812,2.9430946175938537,0.07136341923036013
2025-01-29,0.0,119224,2.977897654834563,0.07136341923036013
2025-01-30,0.0,130608,2.984549721303495,0.07136341923036013
2025-01-31,4.4,129386,2.99686789915444,0.07136341923036013
2025-02-01,5.6,148490,2.8244252811636894,0.07136341923036013
2025-02-02,0.0,123232,3.3529650577771934,0.07136341923036013
2025-02-03,2.2,97820,3.331530259660592,0.07136341923036013
2025-02-04,0.0,118648,2.890201351898029,0.07136341923036013
2025-02-05,0.0,126492,2.9182039180343438,0.07136341923036013
2025-02-06,9.7,124556,2.928651771090904,0.07136341923036013
2025-02-07,0.0,134794,2.946641764470201,0.07136341923036013
2025-02-08,0.0,145774,2.7571134084267426,0.07136341923036013
2025-02-09,12.5,122936,3.4978869493069564,0.07136341923036013
2025-02-10,0.0,107320,3.330951639955288,0.07136341923036013
2025-02-11,0.1,123824,2.8567619362966825,0.07136341923036013
2025-02-12,4.5,126579,2.8934819361821664,0.07136341923036013
2025-02-13,7.2,139562,3.0054456084034684,0.07136341923036013
2025-02-14,0.0,152859,3.0259272270523723,0.07136341923036013
2025-02-15,2.6,148080,2.9482227849810725,0.07136341923036013
2025-02-16,25.0,113232,3.3598284053977743,0.07136341923036013
2025-02-17,0.0,94344,3.7789796913423364,0.07136341923036013
2025-02-18,0.0,115583,3.260487701478563,0.07136341923036013
2025-02-19,0.0,121909,2.9694157117193893,0.07136341923036013
2025-02-20,0.4,139227,2.9116554978560205,0.07136341923036013
2025-02-21,0.5,131079,3.0572772907941337,0.07136341923036013
2025-02-22,0.0,141314,3.1095894957329144,0.07136341923036013
2025-02-23,0.0,108533,3.720250430744566,0.07136341923036013
2025-02-24,0.0,96337,3.5104742726055935,0.07136341923036013
2025-02-25,0.0,114385,3.1463514446823924,0.07136341923036013
2025-02-26,0.0,127130,3.1513256509085394,0.07136341923036013
2025-02-27,2.1,141188,3.1248252684364477,0.07136341923036013
2025-02-28,0.0,144969,3.1930398223068748,0.07136341923036013
2025-03-01,0.0,163666,3.064685029266949,0.07136341923036013
2025-03-02,0.0,128174,3.577136470735097,0.07136341923036013
2025-03-03,0.0,109532,3.408445203228285,0.07136341923036013
2025-03-04,0.0,123422,3.0583469721767536,0.07136341923036013
2025-03-05,9.7,142302,2.879341962867685,0.07136341923036013
2025-03-06,31.8,143185,3.092542584767935,0.07136341923036013
2025-03-07,0.0,133917,3.1361930897496735,0.07136341923036013
2025-03-08,0.0,146891,3.049853292577509,0.07136341923036013
2025-03-09,0.0,116531,3.7713007697522722,0.07136341923036013
2025-03-10,0.0,103928,3.57834125548459,0.07136341923036013
2025-03-11,0.0,124049,3.1607476884134624,0.07136341923036013
2025-03-12,0.0,136539,3.1011863277158924,0.07136341923036013
2025-03-13,0.0,153158,3.104425234072033,0.07136341923036013
2025-03-14,0.0,141478,3.2339611812437363,0.07136341923036013
2025-03-15,0.1,151811,3.1892841098471107,0.07136341923036013
2025-03-16,0.4,117887,3.783254048368343,0.07136341923036013
2025-03-17,27.3,110777,3.7573145147458415,0.07136341923036013
2025-03-18,0.0,122991,3.246972705319896,0.07136341923036013
2025-03-19,0.0,126228,3.224058132902435,0.07136341923036013
2025-03-20,0.0,150117,3.1957740962050085,0.07136341923036013
2025-03-21,18.8,131576,3.4222026053383683,0.07136341923036013
2025-03-22,0.1,140995,3.2653955814035953,0.07136341923036013
2025-03-23,0.0,119851,3.888371227607623,0.07136341923036013
2025-03-24,13.0,109041,3.575846424739279,0.07136341923036013
2025-03-25,0.0,118252,3.3137902107363892,0.07136341923036013
2025-03-26,0.1,129583,3.2127798399481526,0.07136341923036013
2025-03-27,0.0,140219,3.327099180567558,0.07136341923036013
2025-03-28,0.0,133490,3.3475519514570236,0.07136341923036013
